item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
52-324-015-084,184.0,3,Leftovers,10,3,16,11,Low Priority Item
P6012500,184.0,3,Leftovers,54,4,2,2,Low Priority Item
52-427-064-501,185.66666666666666,3,Leftovers,278,4,75,4,Low Priority Item
DM0070,188.0,3,Leftovers,8,3,5,2,Low Priority Item
EE0128,189.33333333333334,3,Leftovers,4,4,3,3,Low Priority Item
P6011204,192.66666666666666,3,Leftovers,55,3,53,4,Low Priority Item
P6011205,192.66666666666666,3,Leftovers,55,3,53,5,Low Priority Item
P6015952,195.0,3,Leftovers,27,3,36,8,Low Priority Item
P85426,198.33333333333334,3,Leftovers,5,3,5,3,Low Priority Item
7C0449070,198.66666666666666,3,Leftovers,23,5,1,1,Low Priority Item
7C064100A,198.66666666666666,3,Leftovers,140,6,1,1,Low Priority Item
P2002653,199.0,3,Leftovers,40,6,6,4,Low Priority Item
7C0851490,199.33333333333334,3,Leftovers,12,3,2,1,Low Priority Item
760282050,201.0,3,Leftovers,29,3,30,5,Low Priority Item
760913450,201.66666666666666,3,Leftovers,280,5,4,1,Low Priority Item
772614325,201.66666666666666,3,Leftovers,105,3,105,9,Low Priority Item
762871010,204.66666666666666,3,Leftovers,60,3,41,5,Low Priority Item
772634152,210.0,3,Leftovers,1343,7,1016,28,Low Priority Item
P6013509,210.33333333333334,3,Leftovers,11,3,8,5,Low Priority Item
P5001997,210.66666666666666,3,Leftovers,43,3,48,6,Low Priority Item
182220,211.33333333333334,3,Leftovers,4,3,3,2,Low Priority Item
P6013289,214.0,3,Leftovers,9,4,4,2,Low Priority Item
P6011210,216.33333333333334,3,Leftovers,24,3,12,3,Low Priority Item
572651075,218.33333333333334,3,Leftovers,17,3,7,3,Low Priority Item
P6011206,219.66666666666666,3,Leftovers,32,4,4,1,Low Priority Item
P6015254,220.0,3,Leftovers,120,4,99,9,Low Priority Item
P6015674,222.33333333333334,3,Leftovers,42,3,47,8,Low Priority Item
P6015675,222.33333333333334,3,Leftovers,42,3,47,8,Low Priority Item
P6011345,226.33333333333334,3,Leftovers,106,3,56,2,Low Priority Item
110191LF,228.33333333333334,3,Leftovers,102,3,216,9,Low Priority Item
P6011236,230.66666666666666,3,Leftovers,68,3,64,4,Low Priority Item
P85693,234.33333333333334,3,Leftovers,55,3,1,1,Low Priority Item
765560230,238.66666666666666,3,Leftovers,36,3,3,3,Low Priority Item
P6010333,244.66666666666666,3,Leftovers,20,3,7,3,Low Priority Item
P6011474,247.0,3,Leftovers,24,3,20,4,Low Priority Item
P6012689,260.0,3,Leftovers,104,3,18,3,Low Priority Item
772650799,262.0,3,Leftovers,28,4,2,2,Low Priority Item
760186060,266.0,3,Leftovers,32,3,12,6,Low Priority Item
P44073,268.0,3,Leftovers,18,3,32,17,Low Priority Item
765560210,271.6666666666667,3,Leftovers,14,3,7,4,Low Priority Item
P6011180,274.0,3,Leftovers,5,3,4,4,Low Priority Item
P2002445,285.6666666666667,3,Leftovers,8,3,6,3,Low Priority Item
P6015970,295.3333333333333,3,Leftovers,19,3,35,9,Low Priority Item
7C0851390,302.0,3,Leftovers,5,4,5,5,Low Priority Item
772610723,303.0,3,Leftovers,3800,7,1774,25,Low Priority Item
7C1052520,328.0,3,Leftovers,26,3,4,2,Low Priority Item
SM0368,328.0,3,Leftovers,3,3,3,3,Low Priority Item
AC2554,330.6666666666667,3,Leftovers,7,3,10,8,Low Priority Item
760913410,355.6666666666667,3,Leftovers,852,7,551,11,Low Priority Item
7C0851350,392.6666666666667,3,Leftovers,5,3,2,2,Low Priority Item
P6014959,393.3333333333333,3,Leftovers,29,3,14,2,Low Priority Item
P2002522,409.6666666666667,3,Leftovers,13,4,27,12,Low Priority Item
772631350,437.3333333333333,3,Leftovers,250,5,5,3,Low Priority Item
P6013463,440.3333333333333,3,Leftovers,6,3,2,1,Low Priority Item
52-461-828-501,451.6666666666667,3,Leftovers,3,3,4,4,Low Priority Item
P6015278,453.3333333333333,3,Leftovers,36,3,24,1,Low Priority Item
P6012988,472.6666666666667,3,Leftovers,18,8,9,6,Low Priority Item
P5001221,555.3333333333334,3,Leftovers,32,6,9,3,Low Priority Item
772615713,636.3333333333334,3,Leftovers,400,3,73,2,Low Priority Item
P6010154,666.0,3,Leftovers,7,3,9,6,Low Priority Item
P6015274,675.3333333333334,3,Leftovers,49,3,25,2,Low Priority Item
P41616,676.3333333333334,3,Leftovers,99,3,3,3,Low Priority Item
