item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
P6012878,163.0,2,Slow Mover,50,2,50,5,Low Priority Item
P6014961,164.0,2,Slow Mover,40,2,26,4,Low Priority Item
SM2074,169.5,2,Slow Mover,60,2,60,2,Low Priority Item
P6015355,171.0,2,Slow Mover,58,3,6,1,Low Priority Item
P6015964,171.0,2,Slow Mover,41,3,4,1,Low Priority Item
760186000,172.5,2,Slow Mover,17,2,13,6,Low Priority Item
7C1941020,172.5,2,Slow Mover,34,2,22,12,Low Priority Item
P5001407,173.0,2,Slow Mover,11,2,10,6,Low Priority Item
115171,173.5,2,Slow Mover,144,2,72,2,Low Priority Item
P70995,174.0,2,Slow Mover,338,3,337,7,Low Priority Item
183298,177.0,2,Slow Mover,2,2,2,2,Low Priority Item
517412,177.0,2,Slow Mover,6500,3,6500,6,Low Priority Item
763871020,178.0,2,Slow Mover,50,2,27,7,Low Priority Item
7C0252040,178.0,2,Slow Mover,40,3,48,12,Low Priority Item
769580090,180.5,2,Leftovers,23,3,21,2,Low Priority Item
P71385,181.5,2,Leftovers,72,2,72,2,Low Priority Item
7C0154010,182.0,2,Leftovers,74,2,74,2,Low Priority Item
P58506,182.5,2,Leftovers,563,2,750,9,Low Priority Item
Y043264,186.0,2,Leftovers,2,2,2,2,Low Priority Item
SM0270,186.5,2,Leftovers,6,3,6,4,Low Priority Item
7C0154110,188.0,2,Leftovers,12,2,6,1,Low Priority Item
772634336,191.5,2,Leftovers,308,2,334,9,Low Priority Item
P6012688,195.0,2,Leftovers,54,2,18,3,Low Priority Item
P6010183,200.0,2,Leftovers,10,2,10,2,Low Priority Item
P6013124,201.0,2,Leftovers,5,4,2,2,Low Priority Item
P6015286,205.0,2,Leftovers,17,3,1,1,Low Priority Item
P6016216,205.0,2,Leftovers,21,3,2,1,Low Priority Item
52-239-344-001,205.5,2,Leftovers,34,2,18,10,Low Priority Item
P6014964,205.5,2,Leftovers,21,3,2,1,Low Priority Item
P6015281,206.0,2,Leftovers,17,3,1,1,Low Priority Item
P6015282,206.0,2,Leftovers,17,3,1,1,Low Priority Item
P6015283,206.0,2,Leftovers,17,3,1,1,Low Priority Item
P6015284,206.0,2,Leftovers,17,3,1,1,Low Priority Item
P6010329,206.5,2,Leftovers,12,3,3,1,Low Priority Item
V1000018,207.0,2,Leftovers,145,2,145,2,Low Priority Item
AC1440,214.5,2,Leftovers,2,2,2,2,Low Priority Item
P6012650,215.0,2,Leftovers,11,4,10,8,Low Priority Item
P6016282,215.0,2,Leftovers,15,4,1,1,Low Priority Item
08-111-671-001,216.0,2,Leftovers,16,2,8,2,Low Priority Item
169053,219.0,2,Leftovers,99,3,33,8,Low Priority Item
178563,220.0,2,Leftovers,3,3,1,1,Low Priority Item
772610211,233.0,2,Leftovers,140,4,80,5,Low Priority Item
772611406,233.0,2,Leftovers,700,3,303,16,Low Priority Item
P6014917,233.0,2,Leftovers,33,4,2,1,Low Priority Item
P6011007,237.0,2,Leftovers,70,2,62,9,Low Priority Item
P78533,242.0,2,Leftovers,12,2,21,6,Low Priority Item
Y15231,242.0,2,Leftovers,2,2,2,2,Low Priority Item
P6011343,248.5,2,Leftovers,58,2,52,3,Low Priority Item
P6011344,248.5,2,Leftovers,58,2,52,2,Low Priority Item
52-127-508-001,252.0,2,Leftovers,54,2,25,6,Low Priority Item
7C065103B,255.0,2,Leftovers,9,2,33,5,Low Priority Item
P2000905,256.0,2,Leftovers,17,2,10,2,Low Priority Item
707940250,258.0,2,Leftovers,120,2,30,6,Low Priority Item
DF0284,261.5,2,Leftovers,45,2,63,6,Low Priority Item
P82437,261.5,2,Leftovers,6,3,8,7,Low Priority Item
V1001037,261.5,2,Leftovers,8,3,8,3,Low Priority Item
Y84386,264.0,2,Leftovers,2,2,2,2,Low Priority Item
DB0118,265.0,2,Leftovers,2,2,1,1,Low Priority Item
SM2167,266.0,2,Leftovers,25,3,24,2,Low Priority Item
P6011349,267.0,2,Leftovers,40,2,26,5,Low Priority Item
M23250,268.0,2,Leftovers,400,3,200,2,Low Priority Item
P6012745,268.0,2,Leftovers,4,2,3,3,Low Priority Item
P5002080,271.0,2,Leftovers,4,2,8,2,Low Priority Item
P6010548,273.0,2,Leftovers,5,2,9,3,Low Priority Item
P5001381,274.0,2,Leftovers,3,3,4,4,Low Priority Item
P6015862,274.0,2,Leftovers,50,4,2,1,Low Priority Item
P6015357,289.0,2,Leftovers,33,4,2,1,Low Priority Item
763970700,293.0,2,Leftovers,50,2,31,9,Low Priority Item
P6011311,305.5,2,Leftovers,3,3,2,2,Low Priority Item
P6010379,309.0,2,Leftovers,36,2,30,4,Low Priority Item
M99414,309.5,2,Leftovers,4,2,2,1,Low Priority Item
7C0449030,314.0,2,Leftovers,9,2,15,6,Low Priority Item
52-127-084-007,321.0,2,Leftovers,16,2,1,1,Low Priority Item
P6010378,326.0,2,Leftovers,36,2,36,2,Low Priority Item
772611207,328.0,2,Leftovers,400,2,400,8,Low Priority Item
513025,329.0,2,Leftovers,6144,2,6144,3,Low Priority Item
SM0269,332.0,2,Leftovers,2,2,5,5,Low Priority Item
771750142,333.0,2,Leftovers,36,2,25,2,Low Priority Item
769582770,336.0,2,Leftovers,14,2,10,2,Low Priority Item
P6014932,339.5,2,Leftovers,55,3,23,2,Low Priority Item
P2005001,355.0,2,Leftovers,49,2,24,1,Low Priority Item
P61570FAB,360.0,2,Leftovers,200,2,200,2,Low Priority Item
761911670,362.5,2,Leftovers,33,3,1,1,Low Priority Item
758016970,366.0,2,Leftovers,5,4,2,2,Low Priority Item
7C0455130,367.0,2,Leftovers,3,3,1,1,Low Priority Item
223240,371.0,2,Leftovers,4000,2,4000,2,Low Priority Item
P5002863,371.5,2,Leftovers,4,2,4,2,Low Priority Item
7C1252210,374.5,2,Leftovers,53,2,6,3,Low Priority Item
P6015275,375.5,2,Leftovers,32,2,24,3,Low Priority Item
P6010976,407.0,2,Leftovers,72,3,18,3,Low Priority Item
P6010718,415.0,2,Leftovers,8,2,3,2,Low Priority Item
772634153,424.0,2,Leftovers,2000,4,1135,22,Low Priority Item
772310243,431.0,2,Leftovers,25,3,8,2,Low Priority Item
P85343,431.0,2,Leftovers,2,2,1,1,Low Priority Item
P6010415,441.0,2,Leftovers,100,2,102,3,Low Priority Item
P2000896,461.0,2,Leftovers,11,2,10,1,Low Priority Item
P6014958,466.0,2,Leftovers,31,2,20,3,Low Priority Item
210321,493.0,2,Leftovers,4000,2,2000,1,Low Priority Item
772310235,502.0,2,Leftovers,132,3,22,3,Low Priority Item
7C1252260,531.0,2,Leftovers,33,2,2,2,Low Priority Item
P2000921,544.0,2,Leftovers,27,2,27,2,Low Priority Item
SM0268,553.0,2,Leftovers,6,2,2,1,Low Priority Item
760116110,584.0,2,Leftovers,47,2,20,2,Low Priority Item
P6011912,584.0,2,Leftovers,12,4,8,2,Low Priority Item
P6015276,593.0,2,Leftovers,15,2,23,6,Low Priority Item
P6016210,598.0,2,Leftovers,48,2,24,1,Low Priority Item
772631312,626.0,2,Leftovers,40,2,10,1,Low Priority Item
7C0252030,632.0,2,Leftovers,80,4,104,7,Low Priority Item
52-429-717-020,651.0,2,Leftovers,3,3,3,3,Low Priority Item
P2000751,659.0,2,Leftovers,3,2,2,2,Low Priority Item
P6015273,784.5,2,Leftovers,48,2,24,1,Low Priority Item
104602,0.0,1,Fast Mover,5,1,9,7,Low Priority Item
188763,0.0,1,Fast Mover,2,1,3,3,Low Priority Item
FJ872A,0.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6011361,0.0,1,Fast Mover,4,1,4,1,Low Priority Item
YC3351,0.0,1,Fast Mover,1,1,1,1,Low Priority Item
175048,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
180724,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
182255,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
182419,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
183296,1.0,1,Fast Mover,2,1,3,2,Low Priority Item
183767,1.0,1,Fast Mover,3,1,3,1,Low Priority Item
52-239-537-001,1.0,1,Fast Mover,4,1,4,1,Low Priority Item
52-327-220-007,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
52-461-390-001,1.0,1,Fast Mover,17,1,25,7,Low Priority Item
760913490,1.0,1,Fast Mover,5,1,3,1,Low Priority Item
7624B4930,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
765270100,1.0,1,Fast Mover,10,2,32,8,Low Priority Item
772640810,1.0,1,Fast Mover,112,3,5,2,Low Priority Item
7C0352440,1.0,1,Fast Mover,6,2,2,2,Low Priority Item
7C1252250,1.0,1,Fast Mover,26,1,19,5,Low Priority Item
7C8051020,1.0,1,Fast Mover,126,7,10,5,Low Priority Item
AC1733,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
AC2582,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
AC6061,1.0,1,Fast Mover,2,1,4,2,Low Priority Item
AC8846,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
AP0006,1.0,1,Fast Mover,27,1,8,2,Low Priority Item
AP0146,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
DL0613,1.0,1,Fast Mover,17,1,19,6,Low Priority Item
DM0056,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
FK104C,1.0,1,Fast Mover,1,1,2,2,Low Priority Item
FM0042,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
P2001057,1.0,1,Fast Mover,3,3,6,6,Low Priority Item
P5001601,1.0,1,Fast Mover,3,1,8,4,Low Priority Item
P6010124,1.0,1,Fast Mover,36,1,56,11,Top Priority Item
P6010788,1.0,1,Fast Mover,40,1,15,3,Low Priority Item
P6011212,1.0,1,Fast Mover,16,2,9,3,Low Priority Item
P6011331,1.0,1,Fast Mover,150,3,100,2,Low Priority Item
P6013370,1.0,1,Fast Mover,10,6,3,3,Low Priority Item
P6015065,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
P6015073,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6015405,1.0,1,Fast Mover,520,5,400,2,Top Priority Item
P6016081,1.0,1,Fast Mover,4,2,2,1,Low Priority Item
P90351,1.0,1,Fast Mover,22,1,12,2,Low Priority Item
SM0004,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0133,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0295,1.0,1,Fast Mover,3,1,6,2,Low Priority Item
SM0298,1.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0607,1.0,1,Fast Mover,1,1,2,2,Low Priority Item
SM2156,1.0,1,Fast Mover,25,1,25,1,Low Priority Item
YA0552,1.0,1,Fast Mover,2,1,2,1,Low Priority Item
104683,2.0,1,Fast Mover,1,1,2,2,Low Priority Item
178031,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
178643,2.0,1,Fast Mover,2,2,1,1,Low Priority Item
178663,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
178775,2.0,1,Fast Mover,6,3,2,1,Low Priority Item
179193,2.0,1,Fast Mover,3,1,3,2,Low Priority Item
179274,2.0,1,Fast Mover,4,3,2,1,Low Priority Item
179281,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
179286,2.0,1,Fast Mover,5,3,2,1,Low Priority Item
179300,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
180114,2.0,1,Fast Mover,4,2,2,1,Low Priority Item
182266,2.0,1,Fast Mover,4,1,4,1,Low Priority Item
182446,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
182697,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
183328,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
183743,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
184056,2.0,1,Fast Mover,4,1,4,1,Low Priority Item
184384,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
184438,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
184897,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
52-362-317-001,2.0,1,Fast Mover,37,2,56,19,Top Priority Item
52-460-769-706,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
758016830,2.0,1,Fast Mover,3,1,6,2,Low Priority Item
7624B0190,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
7624B1230,2.0,1,Fast Mover,4,2,2,1,Low Priority Item
763478080,2.0,1,Fast Mover,27,5,2,2,Low Priority Item
765350120,2.0,1,Fast Mover,20,2,10,3,Low Priority Item
A07032,2.0,1,Fast Mover,24,1,24,1,Low Priority Item
AC8103,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
AC8113,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
AC8153,2.0,1,Fast Mover,4,1,8,2,Low Priority Item
AC8828,2.0,1,Fast Mover,2,1,1,1,Low Priority Item
AP0124,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
DM0041,2.0,1,Fast Mover,17,1,10,2,Low Priority Item
DP1493,2.0,1,Fast Mover,5,3,6,6,Low Priority Item
FK213A,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
FK473B,2.0,1,Fast Mover,2,2,1,1,Low Priority Item
M99081,2.0,1,Fast Mover,25,1,25,1,Low Priority Item
P0001113,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
P2002322,2.0,1,Fast Mover,4,1,13,10,Low Priority Item
P2002466,2.0,1,Fast Mover,4,1,4,1,Low Priority Item
P2004690,2.0,1,Fast Mover,6,2,1,1,Low Priority Item
P56130,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6010241,2.0,1,Fast Mover,300,1,255,39,Top Priority Item
P6011339,2.0,1,Fast Mover,64,1,138,6,Top Priority Item
P6011654,2.0,1,Fast Mover,2,2,1,1,Low Priority Item
P6013185,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6014967,2.0,1,Fast Mover,52,5,38,8,Low Priority Item
P6015079,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6015288,2.0,1,Fast Mover,44,6,14,8,Low Priority Item
P6015289,2.0,1,Fast Mover,44,6,14,8,Low Priority Item
P6015290,2.0,1,Fast Mover,44,6,14,8,Low Priority Item
P6015326,2.0,1,Fast Mover,21,4,28,6,Low Priority Item
P6015358,2.0,1,Fast Mover,37,5,28,6,Low Priority Item
P6015702,2.0,1,Fast Mover,5,2,9,7,Low Priority Item
P6015703,2.0,1,Fast Mover,5,2,9,7,Low Priority Item
P6015939,2.0,1,Fast Mover,12,3,18,6,Low Priority Item
SM0162,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0260,2.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0355,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM0717,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM1120,2.0,1,Fast Mover,5,1,5,1,Low Priority Item
SM1601,2.0,1,Fast Mover,2,2,1,1,Low Priority Item
SM2122,2.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM2130,2.0,1,Fast Mover,25,1,25,1,Low Priority Item
SM2242,2.0,1,Fast Mover,4,2,2,1,Low Priority Item
175016,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
178450,3.0,1,Fast Mover,8,1,9,2,Low Priority Item
178885,3.0,1,Fast Mover,2,1,2,2,Low Priority Item
178889,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
179272,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
179294,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
180695,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
180850,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
181826,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
183059,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
183541,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
183695,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
183749,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
184033,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
184784,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
517419,3.0,1,Fast Mover,12100,1,16500,8,Top Priority Item
52-460-769-708,3.0,1,Fast Mover,3,2,2,1,Low Priority Item
555036,3.0,1,Fast Mover,245,5,20,1,Low Priority Item
762503290,3.0,1,Fast Mover,17,2,8,1,Low Priority Item
762881030,3.0,1,Fast Mover,4,1,20,7,Low Priority Item
765310210,3.0,1,Fast Mover,20,2,1,1,Low Priority Item
772240649,3.0,1,Fast Mover,10,1,10,1,Low Priority Item
AP0157,3.0,1,Fast Mover,4,1,4,1,Low Priority Item
AP0161,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
DL1715,3.0,1,Fast Mover,11,1,2,1,Low Priority Item
DM2436,3.0,1,Fast Mover,10,1,10,2,Low Priority Item
EE0221,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
FK235A,3.0,1,Fast Mover,1,1,2,2,Low Priority Item
FK236A,3.0,1,Fast Mover,4,1,8,2,Low Priority Item
M99429,3.0,1,Fast Mover,3,1,3,1,Low Priority Item
P57582,3.0,1,Fast Mover,5,1,5,1,Low Priority Item
P6013519,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
P6014933,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
P6015039,3.0,1,Fast Mover,4,1,8,2,Low Priority Item
P6015187,3.0,1,Fast Mover,1,1,2,2,Low Priority Item
P6016045,3.0,1,Fast Mover,5,5,1,1,Low Priority Item
P6018910,3.0,1,Fast Mover,4,1,4,1,Low Priority Item
P6019598,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0750,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM1241,3.0,1,Fast Mover,4,2,2,1,Low Priority Item
SM1258,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM1582,3.0,1,Fast Mover,3,1,3,1,Low Priority Item
SM2187,3.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM2268,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
X10101,3.0,1,Fast Mover,302,3,2,2,Low Priority Item
YD5652,3.0,1,Fast Mover,1,1,1,1,Low Priority Item
175003,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
179308,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
181124,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
181134,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
181142,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
181847,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
182714,4.0,1,Fast Mover,4,2,2,1,Low Priority Item
183573,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
183761,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
184121,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
184375,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
184656,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
52-362-335-001,4.0,1,Fast Mover,15,1,20,7,Low Priority Item
52-460-769-704,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
765310190,4.0,1,Fast Mover,17,1,11,5,Low Priority Item
769580920,4.0,1,Fast Mover,18,4,11,2,Low Priority Item
7C0342530,4.0,1,Fast Mover,8,4,3,1,Low Priority Item
A89300,4.0,1,Fast Mover,216,1,430,4,Top Priority Item
A91243,4.0,1,Fast Mover,327,1,286,7,Top Priority Item
A91266,4.0,1,Fast Mover,100,1,100,2,Low Priority Item
AC5570,4.0,1,Fast Mover,2,2,1,1,Low Priority Item
AC8116,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
AC8343,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
AC8830,4.0,1,Fast Mover,2,1,2,2,Low Priority Item
CM1040,4.0,1,Fast Mover,3,3,1,1,Low Priority Item
CM1083,4.0,1,Fast Mover,2,2,3,2,Low Priority Item
DB0216,4.0,1,Fast Mover,2,1,9,7,Low Priority Item
DM0084,4.0,1,Fast Mover,5,1,5,1,Low Priority Item
DM1053,4.0,1,Fast Mover,5,1,5,1,Low Priority Item
DM1067,4.0,1,Fast Mover,10,1,10,1,Low Priority Item
DM1078,4.0,1,Fast Mover,5,1,5,1,Low Priority Item
FM0043,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
M99349,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
P2004574,4.0,1,Fast Mover,6,1,3,2,Low Priority Item
P5001351,4.0,1,Fast Mover,4,3,1,1,Low Priority Item
P6015287,4.0,1,Fast Mover,44,6,14,8,Low Priority Item
P6015292,4.0,1,Fast Mover,32,5,14,8,Low Priority Item
P63236,4.0,1,Fast Mover,50,1,50,1,Low Priority Item
P75087,4.0,1,Fast Mover,1,1,2,2,Low Priority Item
P82873,4.0,1,Fast Mover,20,1,40,2,Low Priority Item
P90570,4.0,1,Fast Mover,10,1,16,4,Low Priority Item
SM0024,4.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0365,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM0524,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
SM0929,4.0,1,Fast Mover,2,1,3,2,Low Priority Item
YA7959,4.0,1,Fast Mover,2,1,2,1,Low Priority Item
104728,5.0,1,Fast Mover,3,1,3,1,Low Priority Item
178459,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
181455,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
181734,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
183060,5.0,1,Fast Mover,2,1,2,1,Low Priority Item
184081,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
184541,5.0,1,Fast Mover,2,1,2,1,Low Priority Item
184718,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
231610,5.0,1,Fast Mover,30,1,30,6,Low Priority Item
AC1710,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
AC2315,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
DM0022,5.0,1,Fast Mover,18,1,6,4,Low Priority Item
DR0335,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
L8382KN,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
LA412C,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
LA779C,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
M99065,5.0,1,Fast Mover,35,1,35,2,Low Priority Item
M99135,5.0,1,Fast Mover,8,1,8,2,Low Priority Item
P2001239,5.0,1,Fast Mover,4,1,4,1,Low Priority Item
P47950,5.0,1,Fast Mover,39,1,48,22,Top Priority Item
P5002566,5.0,1,Fast Mover,3,1,3,1,Low Priority Item
P80263,5.0,1,Fast Mover,2889,1,2889,1,Top Priority Item
QFK460C,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0364,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM1815,5.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM1858,5.0,1,Fast Mover,3,2,2,1,Low Priority Item
V1000004,5.0,1,Fast Mover,295,1,295,1,Top Priority Item
V1000217,5.0,1,Fast Mover,1000,2,500,1,Top Priority Item
Y044063,5.0,1,Fast Mover,2,1,2,1,Low Priority Item
178516,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
178652,6.0,1,Fast Mover,4,1,4,1,Low Priority Item
179194,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
179224,6.0,1,Fast Mover,3,1,3,1,Low Priority Item
180222,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
180843,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
181266,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
181270,6.0,1,Fast Mover,3,3,1,1,Low Priority Item
182701,6.0,1,Fast Mover,3,1,3,1,Low Priority Item
183047,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
184096,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
184125,6.0,1,Fast Mover,1,1,3,3,Low Priority Item
184706,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
184873,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
52-324-015-140,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
760311389,6.0,1,Fast Mover,8,2,5,2,Low Priority Item
760311689,6.0,1,Fast Mover,20,6,10,3,Low Priority Item
760382700,6.0,1,Fast Mover,6,1,9,6,Low Priority Item
7624B4450,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
7C0154100,6.0,1,Fast Mover,3,1,7,5,Low Priority Item
AC5354,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
DL1475,6.0,1,Fast Mover,19,1,19,2,Low Priority Item
DM3096,6.0,1,Fast Mover,5,1,5,1,Low Priority Item
EE0217,6.0,1,Fast Mover,3,2,6,2,Low Priority Item
EE0283,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
FK742A,6.0,1,Fast Mover,3,1,3,1,Low Priority Item
M99356,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
P2002420,6.0,1,Fast Mover,3,1,3,1,Low Priority Item
P47800,6.0,1,Fast Mover,2,1,4,2,Low Priority Item
P6010949,6.0,1,Fast Mover,12,3,13,10,Low Priority Item
P82444,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM0035,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
SM2718,6.0,1,Fast Mover,2,1,2,1,Low Priority Item
V1000221,6.0,1,Fast Mover,500,1,500,1,Top Priority Item
YA6345,6.0,1,Fast Mover,1,1,1,1,Low Priority Item
178685,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
178867,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
179321,7.0,1,Medium Mover,2,1,2,1,Low Priority Item
182134,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
182653,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
183735,7.0,1,Medium Mover,4,3,2,1,Low Priority Item
555069,7.0,1,Medium Mover,8,1,8,1,Low Priority Item
769580930,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
7C1252200,7.0,1,Medium Mover,3,1,2,1,Low Priority Item
AC0803,7.0,1,Medium Mover,10,1,10,1,Low Priority Item
AC6395,7.0,1,Medium Mover,58,1,58,1,Medium Priority Item
DP0453,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
P2000986,7.0,1,Medium Mover,4,1,4,1,Low Priority Item
P5003530,7.0,1,Medium Mover,5,1,10,2,Low Priority Item
SM2060,7.0,1,Medium Mover,60,2,72,3,Medium Priority Item
V1000024,7.0,1,Medium Mover,63,1,63,1,Medium Priority Item
V1000086,7.0,1,Medium Mover,400,1,400,1,Low Priority Item
V1001094,7.0,1,Medium Mover,50,1,100,2,Medium Priority Item
V51801,7.0,1,Medium Mover,22,2,29,10,Medium Priority Item
YA4258,7.0,1,Medium Mover,1,1,1,1,Low Priority Item
182188,8.0,1,Medium Mover,1,1,1,1,Low Priority Item
183528,8.0,1,Medium Mover,4,3,2,1,Low Priority Item
184000,8.0,1,Medium Mover,2,1,2,1,Low Priority Item
184416,8.0,1,Medium Mover,4,2,2,1,Low Priority Item
7C0154070,8.0,1,Medium Mover,30,1,42,4,Low Priority Item
P6015991,8.0,1,Medium Mover,2,2,1,1,Low Priority Item
P85025,8.0,1,Medium Mover,9,1,9,1,Low Priority Item
104643,9.0,1,Medium Mover,1,1,1,1,Low Priority Item
178581,9.0,1,Medium Mover,2,1,2,1,Low Priority Item
180546,9.0,1,Medium Mover,4,3,1,1,Low Priority Item
183693,9.0,1,Medium Mover,2,1,2,1,Low Priority Item
183770,9.0,1,Medium Mover,2,1,2,2,Low Priority Item
76120050A,9.0,1,Medium Mover,13,1,10,5,Medium Priority Item
P5001533,9.0,1,Medium Mover,8,4,10,2,Low Priority Item
SM1122,9.0,1,Medium Mover,2,1,2,1,Low Priority Item
