year,quarter,item_number,shipped_qty,average_inventory,turnover_rate
2021,1,P5001236,7.0,-2.25,-3.111111111111111
2021,1,P5001240,0.0,40.0,0.0
2021,1,P5001245,0.0,30.0,0.0
2021,1,P5001247,10.0,-6.5,-1.5384615384615385
2021,1,P5001265,3.0,-1.75,-1.7142857142857142
2021,1,P5001272,6.0,-3.5,-1.7142857142857142
2021,1,P5001291,0.0,6.0,0.0
2021,1,P5001299,0.0,1.5,0.0
2021,1,P5001303,0.0,2.5,0.0
2021,1,P5001307,0.0,3.5,0.0
2021,1,P5001313,0.0,1.0,0.0
2021,1,P5001319,0.0,7.5,0.0
2021,1,P5001331,0.0,1.5,0.0
2021,1,P5001337,0.0,0.5,0.0
2021,1,P5001343,0.0,3.5,0.0
2021,1,P5001345,2.0,-1.0,-2.0
2021,1,P5001349,0.0,0.5,0.0
2021,1,P5001367,2.0,-1.0,-2.0
2021,1,P5001383,0.0,1.0,0.0
2021,1,P5001387,0.0,2.5,0.0
2021,1,P5001416,1.0,-0.5,-2.0
2021,1,P5001449,0.0,1.5,0.0
2021,1,P5001476,0.0,21.5,0.0
2021,1,P5001482,0.0,9.5,0.0
2021,1,P5001493,0.0,0.5,0.0
2021,1,P5001503,0.0,4.0,0.0
2021,1,P5001527,4.0,0.5,8.0
2021,1,P5001528,0.0,5.0,0.0
2021,1,P5001530,0.0,2.0,0.0
2021,1,P5001539,0.0,1.5,0.0
2021,1,P5001545,0.0,2.5,0.0
2021,1,P5001635,3.0,3.25,0.9230769230769231
2021,1,P5001647,4.0,10.833333333333334,0.3692307692307692
2021,1,P5001688,2.0,1.5,1.3333333333333333
2021,1,P5001700,6.0,2.1666666666666665,2.7692307692307696
2021,1,P5001718,1.0,0.0,inf
2021,1,P5001723,0.0,2.0,0.0
