item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104301,2022-06-30 00:00:00,36.0,2022-06,2022-06-30 00:00:00,55.0,1.5277777777777777,0.0
104301,2022-07-31 00:00:00,112.0,2022-07,2022-07-31 00:00:00,162.0,1.4464285714285714,1.5277777777777777
104301,2022-08-31 00:00:00,91.0,2022-08,0,0.0,0.0,1.4464285714285714
104301,2022-09-30 00:00:00,108.0,2022-09,2022-09-30 00:00:00,122.0,1.1296296296296295,0.0
104301,2022-10-31 00:00:00,72.0,2022-10,2022-10-31 00:00:00,18.0,0.25,1.1296296296296295
104301,2022-11-30 00:00:00,54.0,2022-11,2022-11-30 00:00:00,44.0,0.8148148148148148,0.25
104301,2022-12-31 00:00:00,46.0,2022-12,2022-12-31 00:00:00,103.0,2.239130434782609,0.8148148148148148
104301,2023-01-31 00:00:00,54.0,2023-01,2023-01-31 00:00:00,36.0,0.6666666666666666,2.239130434782609
104301,2023-03-31 00:00:00,126.0,2023-03,2023-03-31 00:00:00,66.0,0.5238095238095238,0.6666666666666666
104301,2023-04-30 00:00:00,18.0,2023-04,2023-04-30 00:00:00,37.0,2.0555555555555554,0.5238095238095238
104301,2023-06-30 00:00:00,36.0,2023-06,2023-06-30 00:00:00,132.0,3.6666666666666665,2.0555555555555554
104301,2023-07-31 00:00:00,36.0,2023-07,2023-07-31 00:00:00,35.0,0.9722222222222222,3.6666666666666665
104301,2023-09-30 00:00:00,18.0,2023-09,0,0.0,0.0,0.9722222222222222
104302,2021-02-28 00:00:00,7.0,2021-02,2021-02-28 00:00:00,11.0,1.5714285714285714,
104302,2021-06-30 00:00:00,39.0,2021-06,0,0.0,0.0,1.5714285714285714
104302,2021-07-31 00:00:00,19.0,2021-07,0,0.0,0.0,0.0
104302,2022-01-31 00:00:00,15.0,2022-01,2022-01-31 00:00:00,15.0,1.0,0.0
104302,2022-02-28 00:00:00,20.0,2022-02,2022-02-28 00:00:00,3.0,0.15,1.0
104302,2022-03-31 00:00:00,5.0,2022-03,2022-03-31 00:00:00,4.0,0.8,0.15
104302,2022-04-30 00:00:00,25.0,2022-04,2022-04-30 00:00:00,5.0,0.2,0.8
104302,2022-08-31 00:00:00,10.0,2022-08,2022-08-31 00:00:00,18.0,1.8,0.2
104302,2022-11-30 00:00:00,10.0,2022-11,2022-11-30 00:00:00,2.0,0.2,1.8
104302,2022-12-31 00:00:00,15.0,2022-12,2022-12-31 00:00:00,15.0,1.0,0.2
104302,2023-01-31 00:00:00,5.0,2023-01,2023-01-31 00:00:00,1.0,0.2,1.0
104302,2023-03-31 00:00:00,40.0,2023-03,0,0.0,0.0,0.2
104302,2023-05-31 00:00:00,5.0,2023-05,0,0.0,0.0,0.0
104302,2023-06-30 00:00:00,5.0,2023-06,2023-06-30 00:00:00,45.0,9.0,0.0
104302,2023-07-31 00:00:00,10.0,2023-07,0,0.0,0.0,9.0
104302,2023-08-31 00:00:00,10.0,2023-08,2023-08-31 00:00:00,8.0,0.8,0.0
104303,2021-02-28 00:00:00,3.0,2021-02,0,0.0,0.0,
104303,2021-06-30 00:00:00,113.0,2021-06,0,0.0,0.0,0.0
104303,2021-08-31 00:00:00,24.0,2021-08,2021-08-31 00:00:00,122.0,5.083333333333333,0.0
104303,2021-09-30 00:00:00,36.0,2021-09,0,0.0,0.0,5.083333333333333
104303,2021-11-30 00:00:00,30.0,2021-11,2021-11-30 00:00:00,12.0,0.4,0.0
104303,2022-01-31 00:00:00,24.0,2022-01,0,0.0,0.0,0.4
104303,2022-02-28 00:00:00,36.0,2022-02,2022-02-28 00:00:00,31.0,0.8611111111111112,0.0
104303,2022-04-30 00:00:00,36.0,2022-04,0,0.0,0.0,0.8611111111111112
104303,2022-05-31 00:00:00,12.0,2022-05,0,0.0,0.0,0.0
104303,2022-06-30 00:00:00,12.0,2022-06,2022-06-30 00:00:00,11.0,0.9166666666666666,0.0
104303,2022-07-31 00:00:00,36.0,2022-07,2022-07-31 00:00:00,19.0,0.5277777777777778,0.9166666666666666
104303,2022-08-31 00:00:00,12.0,2022-08,2022-08-31 00:00:00,21.0,1.75,0.5277777777777778
104303,2022-09-30 00:00:00,24.0,2022-09,2022-09-30 00:00:00,27.0,1.125,1.75
104303,2022-11-30 00:00:00,36.0,2022-11,2022-11-30 00:00:00,3.0,0.08333333333333333,1.125
104303,2022-12-31 00:00:00,36.0,2022-12,2022-12-31 00:00:00,32.0,0.8888888888888888,0.08333333333333333
104303,2023-02-28 00:00:00,24.0,2023-02,2023-02-28 00:00:00,23.0,0.9583333333333334,0.8888888888888888
104303,2023-03-31 00:00:00,48.0,2023-03,2023-03-31 00:00:00,12.0,0.25,0.9583333333333334
104303,2023-05-31 00:00:00,12.0,2023-05,0,0.0,0.0,0.25
104303,2023-06-30 00:00:00,12.0,2023-06,2023-06-30 00:00:00,51.0,4.25,0.0
104303,2023-07-31 00:00:00,24.0,2023-07,2023-07-31 00:00:00,52.0,2.1666666666666665,4.25
104303,2023-08-31 00:00:00,12.0,2023-08,0,0.0,0.0,2.1666666666666665
