year,month,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,2,769582770,7.0,-3.5,-2.0
2021,2,772221421,14.0,-7.0,-2.0
2021,2,772230322,42.0,-21.0,-2.0
2021,2,772610723,382.0,-191.0,-2.0
2021,2,772610733,0.0,50.0,0.0
2021,2,772611228,16.0,-8.0,-2.0
2021,2,772611243,16.0,-8.0,-2.0
2021,2,772613407,48.0,-24.0,-2.0
2021,2,772614122,14.0,-7.0,-2.0
2021,2,772615801,32.0,-16.0,-2.0
2021,2,772630152,59.0,-29.5,-2.0
2021,2,772630422,8.0,-4.0,-2.0
2021,2,772631350,3.0,-1.5,-2.0
2021,2,772634055,4.0,-2.0,-2.0
2021,2,772634104,225.0,-112.5,-2.0
2021,2,772634152,204.0,-102.0,-2.0
2021,2,772634153,49.0,-24.5,-2.0
2021,2,772634336,44.0,-22.0,-2.0
2021,2,772650305,11.0,-5.5,-2.0
2021,2,772650353,12.0,-6.0,-2.0
2021,2,772762040,19.0,-9.5,-2.0
2021,2,772818941,46.0,-23.0,-2.0
2021,2,7C0154150,0.0,3.0,0.0
2021,2,7C0252030,58.0,-29.0,-2.0
2021,2,7C0342260,1.0,-0.5,-2.0
2021,2,7C0342530,3.0,0.0,inf
2021,2,7C0352570,0.0,0.5,0.0
2021,2,7C0455130,0.0,1.5,0.0
2021,2,7C064101A,94.0,-29.0,-3.2413793103448274
2021,2,7C0851370,0.0,1.5,0.0
2021,2,7C1052510,41.0,-20.5,-2.0
2021,2,7C1252160,46.0,-23.0,-2.0
2021,2,7C1941020,6.0,-3.0,-2.0
2021,2,7C8051020,1.0,4.5,0.2222222222222222
2021,2,7C9550100,28.0,-14.0,-2.0
2021,2,7C9550120,6.0,-3.0,-2.0
2021,2,A07033,0.0,12.5,0.0
2021,2,AC0158,2.0,-1.0,-2.0
2021,2,AC0420,2.0,4.5,0.4444444444444444
2021,2,AC0732,19.0,-9.5,-2.0
2021,2,AC1854,2.0,-1.0,-2.0
2021,2,AC1859,0.0,0.5,0.0
2021,2,AC1860,2.0,19.0,0.10526315789473684
2021,2,AC1863,4.0,16.0,0.25
2021,2,AC1864,5.0,0.5,10.0
2021,2,AC1867,7.0,-1.5,-4.666666666666667
2021,2,AC1868,1.0,5.5,0.18181818181818182
2021,2,AC1869,5.0,3.5,1.4285714285714286
2021,2,AC1871,4.0,4.0,1.0
2021,2,AC2173,2.0,0.0,inf
2021,2,AC2465,4.0,0.0,inf
2021,2,AC2477,1.0,-0.5,-2.0
2021,2,AC2522,0.0,5.0,0.0
2021,2,AC2530,2.0,-1.0,-2.0
2021,2,AC2531,1.0,-0.5,-2.0
2021,2,AC2532,4.0,8.0,0.5
2021,2,AC2554,4.0,-2.0,-2.0
2021,2,AC2603,0.0,2.0,0.0
2021,2,AC2607,14.0,-7.0,-2.0
2021,2,AC2608,3.0,-1.5,-2.0
2021,2,AC5729,4.0,-2.0,-2.0
2021,2,AC5911,2.0,-1.0,-2.0
2021,2,AC6034,0.0,2.5,0.0
2021,2,AC6113,110.0,192.5,0.5714285714285714
2021,2,AC8345,0.0,1.0,0.0
2021,2,AC8480,2.0,1.0,2.0
2021,2,AC8626,42.0,-21.0,-2.0
2021,2,AC8668,10.0,-5.0,-2.0
2021,2,AP0068,10.0,-5.0,-2.0
2021,2,AP0099,48.0,-24.0,-2.0
2021,2,AP0144,0.0,1.5,0.0
2021,2,AP0148,2.0,-1.0,-2.0
2021,2,AP0150,2.0,-1.0,-2.0
2021,2,AP0152,1.0,-0.5,-2.0
