item_number,hour,0
P2004632,6,19
104460LF,11,19
SM0759,6,19
SM0756,7,19
P5001019,7,19
P2000854,7,19
P2001619,10,19
P2000888,10,19
P5001079,7,19
P5001021,13,19
P2004427,11,19
SM2269,11,19
115126,10,19
P08420,5,19
P42546,11,19
111031,7,19
238040,6,19
SM2250,9,19
P57081,6,19
V50833,12,19
P2000880,9,19
104456LF,13,19
P2000872,13,19
V1000290,10,19
SM2244,6,19
V1000292,9,19
104471LF,10,19
P2000917,7,19
P5001647,6,19
P2001155,13,19
P2004624,6,19
V51761,6,19
P82888,6,18
P2004563,13,18
52-116-921-501,6,18
P85248,10,18
179361,6,18
P2002500,7,18
P2001617,10,18
52-116-917-501,6,18
SM0743,9,18
P42542,10,18
P2000824,10,18
P2000034,6,18
185116,5,18
V59171,6,18
P2002406,8,18
P6010267,6,18
P42542,12,18
G96817,8,18
P2002512,6,18
513622,11,18
P2001745,12,18
SM2256,9,18
52-128-321-501,12,18
52-116-922-501,12,18
SM0741,9,18
V51970,11,18
P2001619,6,18
555039,12,18
V51759,6,18
P2001011,11,18
513601,9,18
V1000298,7,18
V1000290,6,18
V50838,10,18
AC1863,6,18
115120,11,18
P6010362,11,18
104306,7,18
115118,10,18
235080,6,18
52-239-345-001,11,18
V1000298,11,18
P2004638,6,18
P6010969,6,18
P6013456,6,18
115186,8,18
P58493,6,18
111061,11,18
903576,16,18
P51561,7,18
111061,7,18
P2000864,9,18
P2000864,10,18
104300,5,18
V50813,7,18
P2002404,9,18
SM0749,9,18
228700,11,18
104476LF,10,18
117413LF,10,18
P2001630,6,18
F74000,10,18
V50926,6,18
F74000,9,18
P2000828,5,18
P44081,13,18
P2004429,11,18
SM0746,9,18
M28099,8,18
903578,10,18
SM2227,8,18
SM2225,6,18
SM2267,11,18
SM0755,7,18
P61449,10,18
104459LF,7,18
185112,5,18
52-116-968-501,6,18
V51765,10,18
