year_month,item_number,cumulative_lpns
2021-02,P6010585,3.0
2021-02,P6010590,4.0
2021-02,P6010591,2.0
2021-02,P6010635,1.0
2021-02,P6010637,1.0
2021-02,P6010671,4.0
2021-02,P6010880,1.0
2021-02,P6010882,0.0
2021-02,P6010907,1.0
2021-02,P6010909,0.0
2021-02,P6011015,5.0
2021-02,P6011019,6.0
2021-02,P6011026,1.0
2021-02,P6011033,6.0
2021-02,P6011049,5.0
2021-02,P6011412,1.0
2021-02,P6011452,1.0
2021-02,P6011472,1.0
2021-02,P6011552,5.0
2021-02,P6012464,1.0
2021-02,P6012510,1.0
2021-02,P6012602,1.0
2021-02,P6012736,1.0
2021-02,P6012744,1.0
2021-02,P6012747,1.0
2021-02,P6013051,1.0
2021-02,P6013078,1.0
2021-02,P6013424,1.0
2021-02,P6013456,4.0
2021-02,P6013462,2.0
2021-02,P6013469,4.0
2021-02,P6013507,1.0
2021-02,P6014717,-1.0
2021-02,P6014857,1.0
2021-02,P6014905,1.0
2021-02,P6014929,1.0
2021-02,P6015007,2.0
2021-02,P6015055,1.0
2021-02,P6015135,1.0
2021-02,P6015181,1.0
2021-02,P6015258,1.0
2021-02,P6015259,1.0
2021-02,P6015260,1.0
2021-02,P6015261,1.0
2021-02,P6015262,1.0
2021-02,P6015263,1.0
2021-02,P6015264,1.0
2021-02,P6015265,1.0
2021-02,P6015266,1.0
2021-02,P6015267,2.0
2021-02,P6015268,1.0
2021-02,P6015269,1.0
2021-02,P6015271,1.0
2021-02,P6015273,1.0
2021-02,P6015274,1.0
2021-02,P6015349,1.0
2021-02,P6015955,1.0
2021-02,P6016210,1.0
2021-02,P75087,0.0
2021-02,P75148,1.0
2021-02,P75149,2.0
2021-02,P75383,1.0
2021-02,P77109,1.0
2021-02,P77115,1.0
2021-02,P77119,6.0
2021-02,P77139,2.0
2021-02,P77177,2.0
2021-02,P77179,1.0
2021-02,P78724,3.0
2021-02,P78738,1.0
2021-02,P78922,1.0
2021-02,P79011,1.0
2021-02,P79018,1.0
2021-02,P79026,1.0
2021-02,P81485,0.0
2021-02,P81486,-1.0
2021-02,P81487,1.0
2021-02,P81488,0.0
2021-02,P81498,1.0
2021-02,P81950,1.0
2021-02,P82329,3.0
2021-02,P82331,1.0
2021-02,P82364,2.0
2021-02,P85018,1.0
2021-02,P85166,3.0
2021-02,P85180,1.0
2021-02,P85237,1.0
2021-02,P85238,1.0
2021-02,P85239,3.0
2021-02,P85242,2.0
2021-02,P85245,4.0
