year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,2,P2002404,16.0,0.0,0.0
2021,1,2,P2002414,16.0,20.0,1.25
2021,1,2,P2002422,26.0,0.0,0.0
2021,1,2,P2002444,4.0,10.0,2.5
2021,1,2,P2002459,4.0,4.0,1.0
2021,1,2,P2002461,4.0,2.0,0.5
2021,1,2,P2002463,8.0,4.0,0.5
2021,1,2,P2002465,14.0,8.0,0.5714285714285714
2021,1,2,P2002467,8.0,0.0,0.0
2021,1,2,P2002469,2.0,0.0,0.0
2021,1,2,P2002484,19.0,0.0,0.0
2021,1,2,P2002522,4.0,0.0,0.0
2021,1,2,P2002591,25.0,24.0,0.96
2021,1,2,P2002629,1.0,0.0,0.0
2021,1,2,P2003151,1.0,0.0,0.0
2021,1,2,P2003328,1.0,0.0,0.0
2021,1,2,P2003472,10.0,16.0,1.6
2021,1,2,P2003474,1.0,2.0,2.0
2021,1,2,P2004413,10.0,0.0,0.0
2021,1,2,P2004415,30.0,0.0,0.0
2021,1,2,P2004421,32.0,0.0,0.0
2021,1,2,P2004438,16.0,0.0,0.0
2021,1,2,P41100,17.0,16.0,0.9411764705882353
2021,1,2,P41780,72.0,0.0,0.0
2021,1,2,P42542,52.0,0.0,0.0
2021,1,2,P43972,24.0,0.0,0.0
2021,1,2,P44081,63.0,0.0,0.0
2021,1,2,P45730,120.0,40.0,0.3333333333333333
2021,1,2,P47800,2.0,4.0,2.0
2021,1,2,P5001024,50.0,0.0,0.0
2021,1,2,P5001185,33.0,0.0,0.0
2021,1,2,P5001231,7.0,0.0,0.0
2021,1,2,P5001245,60.0,0.0,0.0
2021,1,2,P5001291,12.0,0.0,0.0
2021,1,2,P5001299,1.0,0.0,0.0
2021,1,2,P5001307,7.0,0.0,0.0
2021,1,2,P5001319,15.0,0.0,0.0
2021,1,2,P5001476,43.0,0.0,0.0
2021,1,2,P5001482,19.0,0.0,0.0
2021,1,2,P5001528,10.0,0.0,0.0
2021,1,2,P5001700,2.0,0.0,0.0
2021,1,2,P5001718,1.0,1.0,1.0
2021,1,2,P5001723,4.0,0.0,0.0
2021,1,2,P5001748,6.0,1.0,0.16666666666666666
2021,1,2,P5001751,30.0,0.0,0.0
2021,1,2,P5001770,19.0,0.0,0.0
2021,1,2,P5001781,5.0,2.0,0.4
2021,1,2,P5002427,20.0,0.0,0.0
2021,1,2,P5002513,8.0,0.0,0.0
2021,1,2,P5002558,9.0,0.0,0.0
2021,1,2,P5002561,20.0,0.0,0.0
