item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104478LF,2021-03-31 00:00:00,4.0,2021Q1,2021-03-31 00:00:00,2.0,0.5,
104478LF,2021-06-30 00:00:00,4.0,2021Q2,0,0.0,0.0,0.5
104478LF,2021-12-31 00:00:00,3.0,2021Q4,2021-12-31 00:00:00,2.0,0.6666666666666666,0.0
104478LF,2022-03-31 00:00:00,9.0,2022Q1,2022-03-31 00:00:00,4.0,0.4444444444444444,0.6666666666666666
104478LF,2022-06-30 00:00:00,11.0,2022Q2,2022-06-30 00:00:00,4.0,0.36363636363636365,0.4444444444444444
104478LF,2022-09-30 00:00:00,3.0,2022Q3,2022-09-30 00:00:00,13.0,4.333333333333333,0.36363636363636365
104478LF,2022-12-31 00:00:00,2.0,2022Q4,0,0.0,0.0,4.333333333333333
104478LF,2023-06-30 00:00:00,19.0,2023Q2,2023-06-30 00:00:00,19.0,1.0,0.0
104478LF,2023-09-30 00:00:00,17.0,2023Q3,0,0.0,0.0,1.0
104500,2022-06-30 00:00:00,194.0,2022Q2,0,0.0,0.0,
104500,2022-09-30 00:00:00,215.0,2022Q3,2022-09-30 00:00:00,4.0,0.018604651162790697,0.0
104501,2021-06-30 00:00:00,27.0,2021Q2,2021-06-30 00:00:00,60.0,2.2222222222222223,
104501,2021-09-30 00:00:00,80.0,2021Q3,2021-09-30 00:00:00,66.0,0.825,2.2222222222222223
104501,2021-12-31 00:00:00,29.0,2021Q4,0,0.0,0.0,0.825
104501,2022-12-31 00:00:00,42.0,2022Q4,0,0.0,0.0,0.0
104501,2023-06-30 00:00:00,12.0,2023Q2,0,0.0,0.0,0.0
104501,2023-09-30 00:00:00,7.0,2023Q3,0,0.0,0.0,0.0
104502,2021-12-31 00:00:00,75.0,2021Q4,2021-12-31 00:00:00,75.0,1.0,
104502,2022-06-30 00:00:00,200.0,2022Q2,2022-06-30 00:00:00,150.0,0.75,1.0
104502,2022-09-30 00:00:00,100.0,2022Q3,0,0.0,0.0,0.75
104502,2022-12-31 00:00:00,125.0,2022Q4,2022-12-31 00:00:00,325.0,2.6,0.0
104502,2023-06-30 00:00:00,100.0,2023Q2,2023-06-30 00:00:00,100.0,1.0,2.6
104502,2023-09-30 00:00:00,175.0,2023Q3,2023-09-30 00:00:00,125.0,0.7142857142857143,1.0
104503,2023-06-30 00:00:00,5.0,2023Q2,2023-06-30 00:00:00,5.0,1.0,
104504,2023-06-30 00:00:00,2.0,2023Q2,0,0.0,0.0,
104600,2021-06-30 00:00:00,12.0,2021Q2,0,0.0,0.0,
104600,2022-03-31 00:00:00,1.0,2022Q1,0,0.0,0.0,0.0
104602,2021-06-30 00:00:00,5.0,2021Q2,2021-06-30 00:00:00,2.0,0.4,
104603,2021-09-30 00:00:00,16.0,2021Q3,0,0.0,0.0,
104603,2021-12-31 00:00:00,4.0,2021Q4,2021-12-31 00:00:00,9.0,2.25,0.0
104603,2022-06-30 00:00:00,12.0,2022Q2,0,0.0,0.0,2.25
104603,2022-09-30 00:00:00,2.0,2022Q3,2022-09-30 00:00:00,2.0,1.0,0.0
104606,2021-09-30 00:00:00,4.0,2021Q3,0,0.0,0.0,
104606,2022-03-31 00:00:00,16.0,2022Q1,2022-03-31 00:00:00,4.0,0.25,0.0
104606,2022-12-31 00:00:00,4.0,2022Q4,2022-12-31 00:00:00,6.0,1.5,0.25
104606,2023-06-30 00:00:00,8.0,2023Q2,0,0.0,0.0,1.5
104606,2023-09-30 00:00:00,4.0,2023Q3,2023-09-30 00:00:00,8.0,2.0,0.0
104608,2021-09-30 00:00:00,4.0,2021Q3,0,0.0,0.0,
104608,2022-03-31 00:00:00,4.0,2022Q1,0,0.0,0.0,0.0
104608,2023-03-31 00:00:00,4.0,2023Q1,0,0.0,0.0,0.0
104608,2023-06-30 00:00:00,8.0,2023Q2,2023-06-30 00:00:00,12.0,1.5,0.0
104609,2021-03-31 00:00:00,2.0,2021Q1,2021-03-31 00:00:00,2.0,1.0,
104609,2021-06-30 00:00:00,11.0,2021Q2,2021-06-30 00:00:00,10.0,0.9090909090909091,1.0
104609,2021-09-30 00:00:00,6.0,2021Q3,2021-09-30 00:00:00,14.0,2.3333333333333335,0.9090909090909091
104609,2022-03-31 00:00:00,18.0,2022Q1,2022-03-31 00:00:00,7.0,0.3888888888888889,2.3333333333333335
104609,2022-06-30 00:00:00,60.0,2022Q2,2022-06-30 00:00:00,14.0,0.23333333333333334,0.3888888888888889
104609,2022-09-30 00:00:00,6.0,2022Q3,2022-09-30 00:00:00,12.0,2.0,0.23333333333333334
104610,2023-03-31 00:00:00,1.0,2023Q1,0,0.0,0.0,
104612,2021-09-30 00:00:00,16.0,2021Q3,0,0.0,0.0,
104612,2022-06-30 00:00:00,16.0,2022Q2,0,0.0,0.0,0.0
104615,2023-06-30 00:00:00,12.0,2023Q2,0,0.0,0.0,
104618,2021-06-30 00:00:00,3.0,2021Q2,0,0.0,0.0,
104618,2021-09-30 00:00:00,5.0,2021Q3,0,0.0,0.0,0.0
104618,2021-12-31 00:00:00,1.0,2021Q4,0,0.0,0.0,0.0
104618,2022-06-30 00:00:00,1.0,2022Q2,2022-06-30 00:00:00,6.0,6.0,0.0
104618,2022-09-30 00:00:00,3.0,2022Q3,2022-09-30 00:00:00,3.0,1.0,6.0
104618,2023-06-30 00:00:00,10.0,2023Q2,2023-06-30 00:00:00,9.0,0.9,1.0
104618,2023-09-30 00:00:00,1.0,2023Q3,0,0.0,0.0,0.9
104621,2021-06-30 00:00:00,4.0,2021Q2,0,0.0,0.0,
104621,2022-06-30 00:00:00,10.0,2022Q2,2022-06-30 00:00:00,5.0,0.5,0.0
104621,2023-09-30 00:00:00,3.0,2023Q3,2023-09-30 00:00:00,3.0,1.0,0.5
104626,2021-09-30 00:00:00,4.0,2021Q3,2021-09-30 00:00:00,6.0,1.5,
104626,2022-06-30 00:00:00,2.0,2022Q2,2022-06-30 00:00:00,2.0,1.0,1.5
