year,item_number,received_qty,shipped_qty,turnover_rate
2021,52-239-344-001,34.0,10.0,0.29411764705882354
2021,52-239-345-001,118.0,95.0,0.8050847457627118
2021,52-239-347-001,45.0,0.0,0.0
2021,52-239-347-003,5.0,0.0,0.0
2021,52-239-351-002,10.0,0.0,0.0
2021,52-239-532-001,5.0,0.0,0.0
2021,52-239-562-001,96.0,255.0,2.65625
2021,52-239-563-001,221.0,136.0,0.6153846153846154
2021,52-239-566-001,396.0,282.0,0.7121212121212122
2021,52-239-567-001,261.0,108.0,0.41379310344827586
2021,52-239-570-001,144.0,10.0,0.06944444444444445
2021,52-239-571-001,371.0,276.0,0.7439353099730458
2021,52-239-611-001,28.0,14.0,0.5
2021,52-260-376-003,3.0,3.0,1.0
2021,52-261-022-001,7.0,8.0,1.1428571428571428
2021,52-261-026-001,1.0,1.0,1.0
2021,52-261-521-001,72.0,56.0,0.7777777777777778
2021,52-261-582-001,200.0,124.0,0.62
2021,52-261-625-002,62.0,60.0,0.967741935483871
2021,52-322-941-001,14.0,18.0,1.2857142857142858
2021,52-324-006-039,5.0,0.0,0.0
2021,52-324-006-041,15.0,2.0,0.13333333333333333
2021,52-324-006-075,37.0,10.0,0.2702702702702703
2021,52-324-006-084,10.0,1.0,0.1
2021,52-324-006-087,10.0,10.0,1.0
2021,52-324-015-084,10.0,0.0,0.0
2021,52-324-015-092,10.0,4.0,0.4
2021,52-327-220-007,1.0,1.0,1.0
2021,52-360-905-001,40.0,24.0,0.6
2021,52-361-106-001,23.0,6.0,0.2608695652173913
2021,52-362-271-001,105.0,203.0,1.9333333333333333
2021,52-362-317-001,1.0,21.0,21.0
2021,52-362-332-001,52.0,124.0,2.3846153846153846
2021,52-362-333-001,67.0,81.0,1.208955223880597
2021,52-362-335-001,15.0,15.0,1.0
2021,52-362-387-001,158.0,90.0,0.569620253164557
2021,52-427-064-501,203.0,0.0,0.0
2021,52-427-144-501,442.0,781.0,1.7669683257918551
2021,52-427-145-501,67.0,9.0,0.13432835820895522
2021,52-427-242-501,60.0,108.0,1.8
2021,52-427-243-501,88.0,30.0,0.3409090909090909
2021,52-427-285-501,288.0,398.0,1.3819444444444444
2021,52-427-361-501,30.0,60.0,2.0
2021,52-427-757-501,17.0,0.0,0.0
2021,52-427-932-501,9.0,10.0,1.1111111111111112
2021,52-429-717-020,3.0,0.0,0.0
2021,52-430-323-001,66.0,6.0,0.09090909090909091
2021,52-460-745-501,44.0,31.0,0.7045454545454546
2021,52-460-754-001,8.0,8.0,1.0
2021,52-460-761-501,62.0,38.0,0.6129032258064516
2021,52-460-769-011,30.0,40.0,1.3333333333333333
2021,52-460-769-012,12.0,15.0,1.25
2021,52-460-769-013,26.0,35.0,1.3461538461538463
2021,52-460-769-014,2.0,4.0,2.0
2021,52-460-769-015,34.0,39.0,1.1470588235294117
2021,52-460-769-016,5.0,3.0,0.6
2021,52-460-769-017,23.0,21.0,0.9130434782608695
2021,52-460-769-018,12.0,18.0,1.5
2021,52-460-769-019,16.0,22.0,1.375
2021,52-460-769-210,19.0,23.0,1.2105263157894737
2021,52-460-769-212,17.0,20.0,1.1764705882352942
2021,52-460-769-214,15.0,15.0,1.0
2021,52-460-769-235,1.0,0.0,0.0
2021,52-460-769-702,2.0,2.0,1.0
2021,52-460-808-501,54.0,41.0,0.7592592592592593
2021,52-461-390-001,17.0,25.0,1.4705882352941178
2021,52-461-395-001,829.0,19.0,0.022919179734620022
2021,52-461-475-000,11.0,4.0,0.36363636363636365
2021,52-461-827-501,12.0,9.0,0.75
2021,52-461-828-501,3.0,2.0,0.6666666666666666
2021,52-462-165-501,371.0,114.0,0.30727762803234504
2021,52-462-482-501,22.0,129.0,5.863636363636363
2021,52-462-487-501,388.0,31.0,0.07989690721649484
2021,52-462-491-501,67.0,201.0,3.0
2021,52-521-933-001,9.0,2.0,0.2222222222222222
2021,555036,20.0,20.0,1.0
2021,555038,589.0,234.0,0.39728353140916806
2021,555039,124.0,150.0,1.2096774193548387
2021,555075,56.0,60.0,1.0714285714285714
2021,557046,4.0,0.0,0.0
2021,572651076,60.0,1.0,0.016666666666666666
2021,707940250,120.0,0.0,0.0
2021,707940270,10.0,0.0,0.0
2021,707940350,50.0,28.0,0.56
2021,750680120,9.0,0.0,0.0
2021,758016830,3.0,6.0,2.0
2021,758016970,1.0,0.0,0.0
2021,758017040,1.0,0.0,0.0
2021,760116100,12.0,0.0,0.0
2021,760116110,39.0,0.0,0.0
2021,760116150,24.0,0.0,0.0
2021,760186000,17.0,4.0,0.23529411764705882
2021,760186040,12.0,0.0,0.0
2021,760186060,32.0,6.0,0.1875
2021,760186070,13.0,24.0,1.8461538461538463
2021,760186080,6.0,10.0,1.6666666666666667
2021,760186090,21.0,28.0,1.3333333333333333
2021,760186100,17.0,7.0,0.4117647058823529
2021,760186130,4.0,0.0,0.0
2021,760186150,15.0,0.0,0.0
2021,760212040,12.0,0.0,0.0
2021,760212050,21.0,0.0,0.0
2021,760282000,123.0,0.0,0.0
2021,760282010,54.0,6.0,0.1111111111111111
2021,760282020,167.0,0.0,0.0
2021,760282050,29.0,0.0,0.0
2021,760311089,24.0,18.0,0.75
2021,760311309,9.0,9.0,1.0
2021,760311349,30.0,33.0,1.1
2021,760311389,4.0,5.0,1.25
2021,760311689,4.0,10.0,2.5
2021,760311729,6.0,15.0,2.5
2021,760382040,2.0,2.0,1.0
2021,760382700,6.0,9.0,1.5
2021,7604A0080,3.0,0.0,0.0
2021,7604A0159,28.0,49.0,1.75
2021,7604B0009,18.0,12.0,0.6666666666666666
2021,7604B0099,23.0,18.0,0.782608695652174
2021,7604B0159,11.0,32.0,2.909090909090909
2021,76061070A,126.0,6.0,0.047619047619047616
2021,76061072B,4.0,15.0,3.75
2021,76068070A,5.0,30.0,6.0
2021,76068071A,39.0,26.0,0.6666666666666666
2021,76068072B,22.0,51.0,2.3181818181818183
2021,760851440,6.0,11.0,1.8333333333333333
2021,760851460,1.0,0.0,0.0
2021,760913310,86.0,0.0,0.0
2021,760913410,227.0,144.0,0.6343612334801763
2021,760913420,18.0,52.0,2.888888888888889
2021,760913430,126.0,0.0,0.0
2021,760913450,32.0,0.0,0.0
2021,76120050A,13.0,1.0,0.07692307692307693
2021,761200510,40.0,27.0,0.675
2021,761200520,18.0,10.0,0.5555555555555556
2021,761200530,27.0,2.0,0.07407407407407407
2021,761210100,12.0,2.0,0.16666666666666666
2021,761911670,1.0,0.0,0.0
2021,761981530,21.0,5.0,0.23809523809523808
2021,762290100,10.0,82.0,8.2
2021,762811010,15.0,21.0,1.4
2021,762871000,10.0,14.0,1.4
2021,762881010,240.0,81.0,0.3375
2021,763380100,234.0,53.0,0.2264957264957265
2021,763418110,32.0,40.0,1.25
2021,763418130,1.0,4.0,4.0
2021,763478050,44.0,16.0,0.36363636363636365
2021,763478060,230.0,43.0,0.18695652173913044
2021,763478070,8.0,4.0,0.5
2021,763478080,3.0,2.0,0.6666666666666666
2021,763810510,120.0,0.0,0.0
2021,763810520,4.0,0.0,0.0
2021,763810530,4.0,2.0,0.5
2021,763871010,570.0,17.0,0.02982456140350877
2021,763871020,50.0,2.0,0.04
2021,763871060,20.0,0.0,0.0
2021,763871080,2.0,3.0,1.5
2021,763970600,240.0,70.0,0.2916666666666667
2021,763970700,40.0,15.0,0.375
2021,765210100,9.0,30.0,3.3333333333333335
2021,765210120,10.0,9.0,0.9
2021,765270100,10.0,32.0,3.2
2021,765270120,10.0,20.0,2.0
2021,765310150,3.0,11.0,3.6666666666666665
2021,765310200,38.0,8.0,0.21052631578947367
2021,765310210,1.0,1.0,1.0
2021,765350120,10.0,10.0,1.0
2021,765350160,62.0,26.0,0.41935483870967744
2021,765350180,15.0,8.0,0.5333333333333333
2021,765380000,15.0,6.0,0.4
2021,765380020,24.0,25.0,1.0416666666666667
2021,765380030,26.0,5.0,0.19230769230769232
2021,765560200,50.0,4.0,0.08
2021,765560210,6.0,2.0,0.3333333333333333
2021,765560230,20.0,0.0,0.0
