item_number,total_overstock_net,latest_inventory,reduction_percentage
P6015133,-1.0,0.0,-inf
P6015135,-7.0,-4.0,175.0
P6015181,-4.0,0.0,-inf
P6015245,-2.0,-4.0,50.0
P6015251,-38.0,-6.0,633.3333333333333
P6015252,-24.0,2.0,-1200.0
P6015254,-6.0,21.0,-28.57142857142857
P6015266,-6.0,101.0,-5.9405940594059405
P6015275,-24.0,8.0,-300.0
P6015276,-23.0,-8.0,287.5
P6015291,2.0,17.0,11.76470588235294
P6015300,12.0,-9.0,-133.33333333333331
P6015318,-4.0,28.0,-14.285714285714285
P6015349,-48.0,76.0,-63.1578947368421
P6015383,-132.0,-10.0,1320.0
P6015385,-86.0,61.0,-140.98360655737704
P6015387,-92.0,147.0,-62.585034013605444
P6015389,-200.0,-50.0,400.0
P6015390,-47.0,0.0,-inf
P6015395,-50.0,0.0,-inf
P6015396,-50.0,0.0,-inf
P6015404,-494.0,-194.0,254.63917525773195
P6015415,-15.0,51.0,-29.411764705882355
P6015420,32.0,24.0,133.33333333333331
P6015422,-50.0,0.0,-inf
P6015426,-87.0,-37.0,235.13513513513513
P6015549,-48.0,-4.0,1200.0
P6015550,-24.0,64.0,-37.5
P6015551,-24.0,0.0,-inf
P6015552,-24.0,28.0,-85.71428571428571
P6015553,8.0,178.0,4.49438202247191
P6015554,-24.0,-20.0,120.0
P6015674,-41.0,-5.0,819.9999999999999
P6015675,-41.0,-5.0,819.9999999999999
P6015752,-20.0,-5.0,400.0
P6015753,-20.0,-5.0,400.0
P6015767,-98.0,0.0,-inf
P6015770,-48.0,-14.0,342.85714285714283
P6015883,-6.0,-21.0,28.57142857142857
P6015907,0.0,8.0,0.0
P6015949,11.0,41.0,26.82926829268293
P6015950,-10.0,10.0,-100.0
P6015952,-24.0,-9.0,266.66666666666663
P6015958,-4.0,23.0,-17.391304347826086
P6015962,-10.0,0.0,-inf
P6015991,0.0,1.0,0.0
P6016045,0.0,4.0,0.0
P6016081,2.0,2.0,100.0
P6016213,-24.0,-6.0,400.0
P6016234,-8.0,19.0,-42.10526315789473
P6017948,-99.0,1.0,-9900.0
P6017951,-36.0,14.0,-257.14285714285717
P6018910,0.0,0.0,
P6018911,2.0,1.0,200.0
P6018924,0.0,0.0,
P6018934,-5.0,2.0,-250.0
P6019502,-6.0,0.0,-inf
P6019505,-13.0,8.0,-162.5
P6019596,-221.0,-219.0,100.91324200913243
P6019598,-1.0,0.0,-inf
P6019602,0.0,0.0,
P6019605,-2.0,4.0,-50.0
P6019644,-3.0,0.0,-inf
P6019671,-12.0,0.0,-inf
P6019686,-12.0,0.0,-inf
P6019692,0.0,19.0,0.0
P6019699,-45.0,0.0,-inf
P6019703,-9.0,0.0,-inf
P6020735,-8.0,8.0,-100.0
P6021332,-6.0,0.0,-inf
P6021334,0.0,0.0,
P61129,53.0,890.0,5.955056179775281
P61449,-696.0,5313.0,-13.099943534726144
P61550FAB,-74.0,0.0,-inf
P61570FAB,-100.0,0.0,-inf
P63231,-320.0,100.0,-320.0
P63233,-500.0,250.0,-200.0
P63235,-125.0,520.0,-24.03846153846154
P63236,0.0,0.0,
P63238,100.0,51.0,196.078431372549
P63239,-145.0,61.0,-237.7049180327869
P63241,-149.0,101.0,-147.5247524752475
P63242,-200.0,120.0,-166.66666666666669
P63243,-2.0,1.0,-200.0
P63244,0.0,150.0,0.0
P63245,61.0,70.0,87.14285714285714
P63246,-18.0,0.0,-inf
P63247,20.0,160.0,12.5
P63248,15.0,45.0,33.33333333333333
P63250,0.0,10.0,0.0
P64150,1400.0,23100.0,6.0606060606060606
P64990FAB,-141.0,85.0,-165.8823529411765
P70873,-5040.0,13440.0,-37.5
P70886,-13.0,0.0,-inf
P70905,-60.0,-250.0,24.0
P70906,-4.0,-3.0,133.33333333333331
P70907,-4.0,0.0,-inf
P70919,-12.0,0.0,-inf
P70928,-65.0,-21.0,309.5238095238095
P70961,-840.0,0.0,-inf
P70962,-1680.0,23940.0,-7.017543859649122
P70963,-1260.0,420.0,-300.0
P70966,-420.0,-420.0,100.0
P70995,-124.0,1.0,-12400.0
P70997,-170.0,47.0,-361.7021276595745
P71385,-72.0,0.0,-inf
P71529,-1.0,1.0,-100.0
P71547,-1.0,0.0,-inf
P75148,-400.0,1111.0,-36.003600360036
P75149,-600.0,795.0,-75.47169811320755
P75214,-267.0,35.0,-762.8571428571429
P75383,-2.0,-10.0,20.0
P75606,1397.0,-824.0,-169.53883495145632
P75612,-311.0,1604.0,-19.389027431421447
P75683,-15.0,0.0,-inf
P76995,-710.0,-104.0,682.6923076923076
P77076,-22.0,57.0,-38.59649122807017
P77106,-1440.0,2512.0,-57.324840764331206
P77115,-3680.0,46838.0,-7.8568683547546865
P77139,1872.0,24474.0,7.648933562147585
P77177,-1968.0,10451.0,-18.8307339010621
P77179,-2716.0,14260.0,-19.04628330995792
P77214,-896.0,9339.0,-9.5941749651997
P77265,-54.0,256.0,-21.09375
P77271,-40.0,20.0,-200.0
P77273,-40.0,-50.0,80.0
P77277,-900.0,500.0,-180.0
P77278,-560.0,0.0,-inf
P78525,-4.0,1.0,-400.0
P78725,0.0,6477.0,0.0
P78729,-2.0,19.0,-10.526315789473683
P78738,-146.0,1728.0,-8.449074074074074
P78791,-23.0,37.0,-62.16216216216216
P78792,-19.0,24.0,-79.16666666666666
P78802,-53.0,67.0,-79.1044776119403
P78803,-51.0,47.0,-108.51063829787233
P78804,-30.0,17.0,-176.47058823529412
P78922,358.0,10298.0,3.4764031850844828
P78927,-3299.0,-3188.0,103.48180677540778
P78985,-12.0,-25.0,48.0
P79011,-129.0,-6.0,2150.0
P79018,-50.0,74.0,-67.56756756756756
P79026,-80.0,-69.0,115.94202898550725
P80263,0.0,0.0,
P80765,-68.0,0.0,-inf
P81289,-512.0,1024.0,-50.0
P81290,240.0,5840.0,4.10958904109589
P81312,-89.0,-40.0,222.5
P81314,0.0,288.0,0.0
P81354,-581.0,144.0,-403.47222222222223
P81357,-144.0,144.0,-100.0
P81486,-300.0,1158.0,-25.906735751295333
P81487,300.0,629.0,47.69475357710652
P81488,-500.0,851.0,-58.75440658049354
P81496,-275.0,231.0,-119.04761904761905
P81498,-50.0,52.0,-96.15384615384616
P81933,-26.0,50.0,-52.0
P81950,-640.0,1024.0,-62.5
P81952,0.0,473.0,0.0
P82096,-1.0,0.0,-inf
P82098,-2.0,30.0,-6.666666666666667
P82155,-3.0,2.0,-150.0
P82169,-17.0,34.0,-50.0
P82170,-9.0,9.0,-100.0
P82329,-90.0,296.0,-30.405405405405407
P82331,-64.0,192.0,-33.33333333333333
P82333,-52.0,24.0,-216.66666666666666
P82364,-35.0,18.0,-194.44444444444443
P82444,0.0,0.0,
P82641,-5.0,4.0,-125.0
P82643,-39.0,55.0,-70.9090909090909
P82645,-12.0,20.0,-60.0
P82646,-2.0,20.0,-10.0
P82859,-2.0,0.0,-inf
P82873,-40.0,-20.0,200.0
P82888,-351.0,537.0,-65.36312849162012
P82946,-21.0,6.0,-350.0
P85018,-24.0,-15.0,160.0
P85025,-9.0,0.0,-inf
