item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104606,2021-12-31 00:00:00,4.0,2021,2021-12-31 00:00:00,12.0,3.0,
104606,2022-12-31 00:00:00,20.0,2022,2022-12-31 00:00:00,20.0,1.0,3.0
104606,2023-12-31 00:00:00,12.0,2023,2023-12-31 00:00:00,14.0,1.1666666666666667,1.0
104608,2021-12-31 00:00:00,4.0,2021,2021-12-31 00:00:00,13.0,3.25,
104608,2022-12-31 00:00:00,4.0,2022,2022-12-31 00:00:00,11.0,2.75,3.25
104608,2023-12-31 00:00:00,12.0,2023,2023-12-31 00:00:00,12.0,1.0,2.75
104609,2021-12-31 00:00:00,19.0,2021,2021-12-31 00:00:00,26.0,1.368421052631579,
104609,2022-12-31 00:00:00,84.0,2022,2022-12-31 00:00:00,34.0,0.40476190476190477,1.368421052631579
104610,2023-12-31 00:00:00,1.0,2023,2023-12-31 00:00:00,1.0,1.0,
104612,2021-12-31 00:00:00,16.0,2021,2021-12-31 00:00:00,3.0,0.1875,
104612,2022-12-31 00:00:00,16.0,2022,2022-12-31 00:00:00,3.0,0.1875,0.1875
104615,2023-12-31 00:00:00,12.0,2023,2023-12-31 00:00:00,3.0,0.25,
104618,2021-12-31 00:00:00,9.0,2021,2021-12-31 00:00:00,3.0,0.3333333333333333,
104618,2022-12-31 00:00:00,4.0,2022,2022-12-31 00:00:00,12.0,3.0,0.3333333333333333
104618,2023-12-31 00:00:00,11.0,2023,2023-12-31 00:00:00,9.0,0.8181818181818182,3.0
104621,2021-12-31 00:00:00,4.0,2021,2021-12-31 00:00:00,4.0,1.0,
104621,2022-12-31 00:00:00,10.0,2022,2022-12-31 00:00:00,5.0,0.5,1.0
104621,2023-12-31 00:00:00,3.0,2023,2023-12-31 00:00:00,3.0,1.0,0.5
104626,2021-12-31 00:00:00,4.0,2021,2021-12-31 00:00:00,6.0,1.5,
